RMS V	RMS I	PF	Active power	Reactive power	Apparent power	TV	Microwave	Fan
241.88	3.49	0.77	331.39	277.06	431.96	0	1	0
241.91	3.49	0.77	62.83	52.57	81.92	0	1	0
242.13	3.48	0.77	62.78	52.63	81.92	0	1	0
242.11	3.49	0.77	16.1	13.48	21	0	1	0
242.1	3.49	0.77	62.75	52.67	81.92	0	1	0
242.14	3.49	0.77	16.11	13.48	21	0	1	0
242.13	3.49	0.77	16.11	13.48	21	0	1	0
242.11	3.49	0.77	16.1	13.49	21	0	1	0
242.12	3.48	0.77	16.11	13.48	21	0	1	0
242.12	3.49	0.77	16.09	13.5	21	0	1	0
242.11	3.48	0.77	95.05	79.53	123.93	0	1	0
242.14	3.48	0.77	489.72	409.8	638.57	0	1	0
242.12	3.49	0.77	1279.52	1069.82	1667.84	0	1	0
242.1	3.49	0.77	104.09	86.58	135.39	0	1	0
241.81	3.49	0.77	405.65	338.34	528.23	0	1	0
241.84	3.49	0.77	139.77	117.02	182.29	0	1	0
241.88	3.49	0.77	300.08	250.21	390.7	0	1	0
242.19	3.48	0.77	885.84	738.35	1153.2	0	1	0
242.19	3.49	0.77	1038.11	863.38	1350.23	0	1	0
242	3.49	0.77	225.91	188.46	294.2	0	1	0
241.86	3.49	0.77	230.93	192.86	300.87	0	1	0
241.89	3.49	0.77	510.24	425.54	664.41	0	1	0
242	3.49	0.77	490.7	408.64	638.57	0	1	0
242.12	3.48	0.77	1279.34	1070.03	1667.84	0	1	0
242.13	3.49	0.77	77.23	64.19	100.42	0	1	0
241.84	3.49	0.77	257.37	215.3	335.55	0	1	0
241.89	3.49	0.77	220.54	184.16	287.32	0	1	0
241.89	3.49	0.77	516.22	430.72	672.31	0	1	0
242.01	3.49	0.77	490.01	409.46	638.57	0	1	0
242.09	3.49	0.77	1279.33	1070.05	1667.84	0	1	0
242.09	3.49	0.77	72.72	60.54	94.62	0	1	0
241.85	3.49	0.77	82.33	68.65	107.2	0	1	0
241.85	3.48	0.77	269.77	225.11	351.36	0	1	0
241.89	3.49	0.77	134.84	112.34	175.5	0	1	0
241.84	3.49	0.77	471.08	393.32	613.69	0	1	0
242.01	3.49	0.77	647.77	541.7	844.42	0	1	0
242.12	3.49	0.77	1280.3	1068.89	1667.84	0	1	0
242.11	3.49	0.77	104.9	87.44	136.56	0	1	0
241.79	3.49	0.77	429.82	359.81	560.55	0	1	0
241.86	3.49	0.77	183.76	153.83	239.65	0	1	0
241.92	3.49	0.77	220.86	184.49	287.78	0	1	0
242.17	3.49	0.77	964.23	805.06	1256.13	0	1	0
242.15	3.49	0.77	846.36	703.67	1100.67	0	1	0
242	3.49	0.77	139.86	116.56	182.06	0	1	0
241.82	3.49	0.77	368.87	307.85	480.45	0	1	0
241.8	3.49	0.77	439.88	368.74	573.99	0	1	0
241.98	3.49	0.77	174.07	145.47	226.86	0	1	0
242.18	3.49	0.77	1122.42	936.78	1461.98	0	1	0
242.06	3.49	0.77	105.79	88.21	137.75	0	1	0
241.88	3.48	0.77	77.18	64.26	100.42	0	1	0
241.81	3.48	0.77	263.66	220.11	343.46	0	1	0
241.87	3.49	0.77	187.03	155.56	243.27	0	1	0
241.88	3.49	0.77	524.94	438.78	684.17	0	1	0
242.01	3.48	0.77	490.35	409.05	638.57	0	1	0
242.12	3.48	0.77	1280.47	1068.68	1667.84	0	1	0
242.1	3.49	0.77	73.4	61.23	95.59	0	1	0
241.88	3.49	0.77	74.13	61.87	96.55	0	1	0
241.88	3.49	0.77	73.35	61.29	95.59	0	1	0
241.87	3.48	0.77	76.35	63.74	99.46	0	1	0
241.89	3.48	0.77	77.94	64.85	101.39	0	1	0
241.81	3.49	0.77	266.55	222.8	347.41	0	1	0
241.88	3.49	0.77	217.99	181.92	283.93	0	1	0
241.87	3.49	0.77	486.1	405.13	632.79	0	1	0
242.01	3.49	0.77	490.23	409.21	638.57	0	1	0
242.11	3.49	0.77	1279.44	1069.91	1667.84	0	1	0
242.11	3.49	0.77	51.06	42.56	66.47	0	1	0
241.83	3.49	0.77	51.64	43.05	67.23	0	1	0
241.86	3.48	0.77	49.88	41.57	64.93	0	1	0
241.85	3.49	0.77	55.16	46.01	71.83	0	1	0
241.86	3.48	0.77	52.88	43.96	68.76	0	1	0
241.84	3.48	0.77	53.97	45.04	70.3	0	1	0
241.84	3.48	0.77	56.34	46.98	73.36	0	1	0
241.85	3.48	0.77	53.93	45.08	70.3	0	1	0
241.84	3.48	0.77	52.24	43.53	68	0	1	0
241.86	3.48	0.77	49.27	41.11	64.17	0	1	0
241.85	3.48	0.77	53.99	45.02	70.3	0	1	0
241.84	3.48	0.77	55.15	46.02	71.83	0	1	0
241.86	3.48	0.77	56.93	47.46	74.12	0	1	0
241.86	3.48	0.77	54	45.01	70.3	0	1	0
241.86	3.48	0.77	56.37	46.95	73.36	0	1	0
